,Gross domestic product 2022,,,,
,,,,,
,,,,(millions of,
,Ranking,,Economy,US dollars),
,,,,,
TJK,148,,Tajikistan," 10,492 ",
SOM,149,,Somalia," 10,420 ",
MRT,150,,Mauritania," 9,781 ",
NCL,151,,New Caledonia," 9,623 ",
XKX,152,,Kosovo," 9,409 ",
SYR,153,,Syrian Arab Republic," 8,970 ",
MCO,154,,Monaco," 8,784 ",
TGO,155,,Togo," 8,341 ",
LIE,156,,Liechtenstein," 7,710 ",
BMU,157,,Bermuda," 7,546 ",
CYM,158,,Cayman Islands," 6,845 ",
IMN,159,,Isle of Man," 6,684 ",
MNE,160,,Montenegro," 6,230 ",
MDV,161,,Maldives," 6,171 ",
GUM,162,,Guam," 6,123 ",
PYF,163,,French Polynesia," 5,815 ",
BRB,164,,Barbados," 5,700 ",
FJI,165,,Fiji," 4,980 ",
SWZ,166,,Eswatini," 4,791 ",
VIR,167,,Virgin Islands (U.S.)," 4,444 ",
SLE,168,,Sierra Leone," 4,095 ",
LBR,169,,Liberia," 4,001 ",
SUR,170,,Suriname," 3,621 ",
FRO,171,,Faroe Islands," 3,556 ",
ABW,172,,Aruba," 3,545 ",
DJI,173,,Djibouti," 3,515 ",
AND,174,,Andorra," 3,352 ",
BDI,175,,Burundi," 3,339 ",
GRL,176,,Greenland," 3,236 ",
TLS,177,,Timor-Leste," 3,205 ",
CUW,178,,Curaçao," 3,075 ",
BLZ,179,,Belize," 2,831 ",
BTN,180,,Bhutan," 2,768 ",
CAF,181,,Central African Republic," 2,383 ",
LCA,182,,St. Lucia," 2,344 ",
LSO,183,,Lesotho," 2,237 ",
CPV,184,,Cabo Verde," 2,227 ",
GMB,185,,"Gambia, The"," 2,187 ",
ATG,186,,Antigua and Barbuda," 1,868 ",
SMR,187,,San Marino," 1,855 ",
GNB,188,,Guinea-Bissau," 1,634 ",
SLB,189,,Solomon Islands," 1,597 ",
SYC,190,,Seychelles," 1,588 ",
SXM,191,,Sint Maarten (Dutch part)," 1,537 ",
COM,192,,Comoros," 1,243 ",
GRD,193,,Grenada," 1,215 ",
TCA,194,,Turks and Caicos Islands," 1,139 ",
VUT,195,,Vanuatu," 1,056 ",
KNA,196,,St. Kitts and Nevis, 966 ,
VCT,197,,St. Vincent and the Grenadines, 949 ,
ASM,198,,American Samoa, 871 ,
MNP,199,,Northern Mariana Islands, 858 ,
WSM,200,,Samoa, 833 ,
MAF,201,,St. Martin (French part), 649 ,
DMA,202,,Dominica, 607 ,
STP,203,,São Tomé and Principe, 543 ,
TON,204,,Tonga, 469 ,
FSM,205,,"Micronesia, Fed. Sts.", 424 ,
MHL,206,,Marshall Islands, 259 ,
PLW,207,,Palau, 233 ,
KIR,208,,Kiribati, 223 ,
NRU,209,,Nauru, 152 ,
TUV,210,,Tuvalu, 59 ,
VGB,,,British Virgin Islands, -   ,
ERI,,,Eritrea, -   ,
GIB,,,Gibraltar, -   ,
PRK,,,"Korea, Dem. People's Rep.", -   ,
SSD,,,South Sudan, -   ,
VEN,,,"Venezuela, RB", -   ,
YEM,,,"Yemen, Rep.", -   ,
,,,,,
,,,,,
,,,,,
WLD,,,World," 101,325,687 ",
,,,,#N/A,
,,,,,
EAS,,,East Asia & Pacific," 30,688,236 ",
ECS,,,Europe & Central Asia," 25,329,956 ",
LCN,,,Latin America & Caribbean," 6,820,032 ",
MEA,,,Middle East & North Africa," 4,426,622 ",
NAC,,,North America," 27,585,185 ",
SAS,,,South Asia," 4,390,348 ",
SSF,,,Sub-Saharan Africa," 2,060,531 ",
LIC,,,Low income," 528,125 ",
LMC,,,Lower middle income," 8,171,521 ",
UMC,,,Upper middle income," 30,609,458 ",
HIC,,,High income," 61,667,467 ",
,,,,,
,"- Not available.  
Note: Table list 217 economies, but rankings include only those with confirmed GDP estimates for at least one year during the last three years period. Figures in italics are for 2021 or 2020.
a. Based on data from official statistics of Ukraine and Russian Federation as well as the United Nations; by relying on these data, the World Bank does not intend to make any judgment on the legal or other status of the territories concerned or to prejudice the final determination of the parties' claims.  b. Includes Western Sahara.  c. Covers mainland Tanzania only.  d. Data are for the area controlled by the government of Cyprus.  e. Excludes Abkhazia and South Ossetia.  f. Excludes Transnistria.",,,,
,,,,,
,,,,,
,GDP data source: http://data.worldbank.org/data-catalog/world-development-indicators,,,,
,GDP projections:  http://data.worldbank.org/data-catalog/global-economic-prospects,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
