Pais,GDP,Population,Promedio
Mauritania,9781.0,4736.0,7258.5
New Caledonia,9623.0,269.0,4946.0
Kosovo,9409.0,1762.0,5585.5
Syrian Arab Republic,8970.0,22125.0,15547.5
Monaco,8784.0,36.0,4410.0
Togo,8341.0,8849.0,8595.0
Liechtenstein,7710.0,39.0,3874.5
Bermuda,7546.0,64.0,3805.0
Cayman Islands,6845.0,69.0,3457.0
Isle of Man,6684.0,85.0,3384.5
Montenegro,6230.0,617.0,3423.5
Maldives,6171.0,524.0,3347.5
Guam,6123.0,172.0,3147.5
French Polynesia,5815.0,306.0,3060.5
Barbados,5700.0,282.0,2991.0
Fiji,4980.0,930.0,2955.0
Eswatini,4791.0,1202.0,2996.5
Virgin Islands (U.S.),4444.0,105.0,2274.5
Sierra Leone,4095.0,8606.0,6350.5
Liberia,4001.0,5303.0,4652.0
Suriname,3621.0,618.0,2119.5
Faroe Islands,3556.0,53.0,1804.5
Aruba,3545.0,106.0,1825.5
Djibouti,3515.0,1121.0,2318.0
Andorra,3352.0,80.0,1716.0
Burundi,3339.0,12890.0,8114.5
Greenland,3236.0,57.0,1646.5
Timor-Leste,3205.0,1341.0,2273.0
Curaçao,3075.0,150.0,1612.5
Belize,2831.0,405.0,1618.0
Bhutan,2768.0,782.0,1775.0
Central African Republic,2383.0,5579.0,3981.0
St. Lucia,2344.0,180.0,1262.0
Lesotho,2237.0,2306.0,2271.5
Cabo Verde,2227.0,593.0,1410.0
"Gambia, The",2187.0,2706.0,2446.5
Antigua and Barbuda,1868.0,94.0,981.0
San Marino,1855.0,34.0,944.5
Guinea-Bissau,1634.0,2106.0,1870.0
Solomon Islands,1597.0,724.0,1160.5
Seychelles,1588.0,120.0,854.0
Sint Maarten (Dutch part),1537.0,43.0,790.0
Comoros,1243.0,837.0,1040.0
Grenada,1215.0,125.0,670.0
Turks and Caicos Islands,1139.0,46.0,592.5
Vanuatu,1056.0,327.0,691.5
St. Kitts and Nevis,966.0,48.0,507.0
St. Vincent and the Grenadines,949.0,104.0,526.5
American Samoa,871.0,44.0,457.5
Northern Mariana Islands,858.0,50.0,454.0
Samoa,833.0,222.0,527.5
St. Martin (French part),649.0,32.0,340.5
Dominica,607.0,73.0,340.0
São Tomé and Principe,543.0,227.0,385.0
Tonga,469.0,107.0,288.0
"Micronesia, Fed. Sts.",424.0,114.0,269.0
Marshall Islands,259.0,42.0,150.5
Palau,233.0,18.0,125.5
Kiribati,223.0,131.0,177.0
Nauru,152.0,13.0,82.5
Tuvalu,59.0,11.0,35.0
